frequencia_Hz,magnitude_PM,magnitude_FM,magnitude_AM_DSB
0.0,1.9184653865522705e-13,3.069544618483633e-12,1.3265784162979062e-13
10.0,2.214601285056445e-12,2.7307151367092205e-12,1.1846137226031778e-13
20.0,2.7093199538752297e-12,6.355210872204374e-13,4.527223320140111e-14
30.0,2.251257488703356e-12,2.6549012179074974e-13,1.2730036060859998e-14
40.0,2.4504964348915377e-12,6.623354463496785e-13,1.6315060485319862e-13
50.0,2.2432062979128327e-12,1.2002400313578723e-12,1.9790939154182726e-13
60.0,1.5822306852238453e-12,3.507712906898292e-13,2.0948613013473356e-13
70.0,2.0122746140723404e-12,2.104678866454178e-13,3.674583381784609e-13
80.0,3.147838995512575e-12,7.332966216428849e-13,2.5592479737007575e-13
90.0,4.63679630813894e-12,1.3891445924975028e-12,3.304885534542448e-14
100.0,1.7348471948773933e-12,6.27265271315814e-13,9.100907513699946e-14
110.0,4.969953494282765e-12,5.40255613548908e-13,4.095242206025923e-14
120.0,4.006881581682637e-12,1.100389143653851e-12,2.407291164490066e-13
130.0,2.2066850042705264e-12,6.611853856762075e-13,1.926700528231388e-13
140.0,1.80349201803264e-12,5.689629908732539e-13,1.7822702905802678e-13
150.0,1.5922365196509304e-12,2.0642718351319862e-13,3.0510362112644986e-13
160.0,2.1121490059984794e-12,3.6857604712926077e-13,2.1995469249849262e-13
170.0,3.5483181055471137e-12,4.180947525937448e-13,4.141408840636963e-13
180.0,2.1233548384110718e-12,3.7996329833824076e-13,1.5811811723392608e-13
190.0,2.5045445508720567e-12,1.0413033992877058e-12,1.5121058945160488e-13
200.0,1.8628332530975663e-12,1.3179582417864226e-12,3.764643154966047e-13
210.0,4.985430255834839e-13,3.4372989589741694e-12,3.6538613788392794e-13
220.0,2.3790500828841263e-12,1.6962343683253916e-12,4.2250123992429086e-13
230.0,1.5045946104871796e-12,2.065564304203497e-12,6.971202868545582e-13
240.0,2.836785617104182e-12,2.0226946300990042e-12,1.4060097434390316e-12
250.0,2.0050722874903208e-12,7.890977089661134e-13,1.0637537414517327e-12
260.0,9.216714298265008e-13,8.659184759362977e-13,1.4549997905048524e-12
270.0,2.5785084693304645e-12,1.0692073802174449e-12,7.455235812819178e-13
280.0,1.7951697863656191e-12,1.664157521984573e-12,4.824277781811127e-13
290.0,4.058662944187483e-12,2.5579914715362653e-12,1.7614739330904838e-13
300.0,6.119556631718166e-12,7.035190229628052e-13,4.007093360153701e-13
310.0,3.76941442438366e-12,4.426193846111776e-12,4.334034534250171e-13
320.0,2.046068857667609e-12,2.038752908556434e-12,3.68257230102691e-13
330.0,1.3883254418643705e-12,2.293434568153284e-12,3.2765033725944934e-13
340.0,1.5176666366916418e-12,3.3092953577831098e-12,2.0507287937339303e-13
350.0,1.9638747032782224e-13,1.8765956663762792e-12,8.788497265902988e-14
360.0,8.205667514645733e-13,1.934652860458712e-12,2.9155127223088217e-13
370.0,3.967799676957597e-13,8.347126867145278e-13,4.122310603116706e-13
380.0,1.551425450095537e-12,1.7251665488526706e-12,2.541120395464042e-13
390.0,2.047884522413777e-12,1.5008399526916567e-12,4.543122991058974e-13
400.0,1.1333621978281527e-10,1.7808903361875742e-12,5.382769463279582e-14
410.0,2.7507903513010986e-12,1.2971249321334275e-12,6.410226150864883e-13
420.0,3.7710382616271636e-12,1.1694760163578126e-12,1.474649887643917e-12
430.0,1.2317135304986123e-12,1.4162029289119583e-12,9.650689100363421e-13
440.0,2.220260901652885e-12,2.0166344842124618e-12,9.389018981554434e-13
450.0,2.9478943585090837e-12,7.636099728476994e-13,1.2079261258506966e-12
460.0,4.0839516645298355e-13,8.421199792919568e-13,1.0634752772435882e-12
470.0,5.734508552196737e-13,1.610897395290582e-12,7.325571456179905e-13
480.0,1.5159542274994688e-12,2.512969805728432e-12,3.9929407591720783e-13
490.0,1.7892106449937642e-12,5.089412813510622e-12,4.687771810552286e-13
500.0,1.7969593656082748e-09,2.073277269930871e-12,4.1534583028716253e-13
510.0,4.255454420889886e-12,5.132063357893378e-12,1.1116365660231228e-13
520.0,2.4324419668658274e-12,6.722159051579039e-12,1.245550340329291e-13
530.0,2.4709542868940726e-12,4.0152365085994676e-12,1.725590846886509e-13
540.0,1.6635020508703207e-12,2.5492569097439802e-12,3.629101719676013e-13
550.0,5.736762368486116e-13,9.356245696972016e-13,3.199828305135237e-13
560.0,1.6575129516410124e-12,1.3287112580715432e-12,4.359604731000798e-13
570.0,2.456702611677192e-12,2.919770654709077e-13,5.220317025367016e-13
580.0,2.26609957965138e-12,1.3769861301514777e-12,5.286060917988015e-13
590.0,1.9000936082902835e-12,1.0098439432284377e-12,1.083518843198328e-13
600.0,2.6821596749681228e-08,2.026288364271379e-12,4.810704958419518e-13
610.0,3.03566204939648e-12,5.862821622261511e-13,1.161018191771292e-12
620.0,1.105964048424912e-12,4.2445268687264137e-13,1.9976074263751903e-12
630.0,1.9582547634033725e-12,5.154580380629312e-13,1.4304741926606916e-12
640.0,6.610411919089172e-13,1.1828369013687237e-12,1.2021307113890696e-12
650.0,1.7394518548738133e-12,1.868838411751691e-12,6.952099173566855e-13
660.0,2.0359768132186077e-12,2.075309122184614e-12,1.0275787275670143e-12
670.0,5.928412183288754e-13,1.180886866916364e-12,5.530250133074261e-13
680.0,1.7271127740197868e-12,2.514477812591428e-13,2.8811381741159456e-13
690.0,1.0114166539774067e-12,1.8788562021498713e-12,4.852389576517696e-13
700.0,3.737355055535646e-07,1.2160412482733478e-12,4.278923845354212e-13
710.0,2.197370642823049e-12,2.2082645007536588e-12,2.4443749684938283e-13
720.0,2.129095830339788e-12,1.5359238174148921e-13,2.3335527726499366e-13
730.0,1.854673958340995e-12,1.3726921188374914e-12,1.6076244148309937e-13
740.0,8.178149915019497e-13,1.184614879335319e-12,3.3127097869625447e-13
750.0,1.495979030355399e-12,7.99833995525704e-13,4.78564561315797e-14
760.0,5.905681633570879e-13,2.977804006581198e-13,3.9393066142749834e-13
770.0,3.635057236957119e-12,6.565989671265897e-13,2.2900165670711456e-13
780.0,3.610267416517891e-12,3.69756861673515e-13,7.403665036765406e-13
790.0,4.5378550832373705e-12,1.9528023353626615e-12,5.791505716253837e-13
800.0,4.831739183220854e-06,8.494853103117222e-12,6.05292486844423e-13
810.0,3.0653269625149212e-12,1.6746135624767641e-12,8.525336458522817e-13
820.0,3.808759325090821e-12,1.2505430785871533e-12,6.619258386468145e-13
830.0,6.958630345894725e-13,1.7879296276156659e-12,1.7512726549216014e-12
840.0,2.85080666713102e-12,5.387495763262282e-13,1.4438469792144877e-12
850.0,9.353536336150785e-13,1.1078117525836703e-12,3.923669557942608e-13
860.0,1.0005409009742087e-12,1.684743414296878e-12,5.458055681387563e-13
870.0,1.3832819381517455e-12,3.420270045437975e-12,7.733614761918799e-13
880.0,1.1595503658743192e-12,3.6347528272921664e-12,6.879473184781416e-13
890.0,8.026219281586992e-13,4.9938619818052264e-12,4.553992526957129e-13
900.0,5.7607118829339224e-05,2.111634009741338e-10,5.47510080233239e-13
910.0,2.1008418232916826e-12,6.294226216600111e-12,5.432499445867357e-13
