frequencia_Hz,psd_modulante,psd_PM,psd_FM,psd_AM_DSB
0.0,0.006044864219349792,4.322577330018178e-08,4.098377566749743e-08,1.4201983092872873e-07
97.65624999999999,0.014125603161858064,2.1564970571685636e-08,2.0447487951821425e-08,7.085444002453181e-08
195.31249999999997,0.0036739912811654947,1.2560420171539114e-14,1.1439967725311202e-14,4.017822934918076e-14
292.96874999999994,2.0759970308183038e-07,1.3101739851218844e-14,1.196941986894452e-14,4.201275781147603e-14
390.62499999999994,1.0847485371946947e-08,1.3880789317398248e-14,1.2731545954145747e-14,4.465346609762749e-14
488.28124999999994,1.5187917042000468e-09,1.4919858397072655e-14,1.374831501369039e-14,4.817645023640014e-14
585.9374999999999,3.430253330150694e-10,1.624923409105456e-14,1.504958330203689e-14,5.2685129318079055e-14
683.5937499999999,1.0371351082978507e-10,1.7908558718114986e-14,1.6674438492197105e-14,5.831490218135207e-14
781.2499999999999,3.822816375359051e-11,1.9948656408603372e-14,1.86730068479888e-14,6.523941112424142e-14
878.9062499999999,1.6263692879090053e-11,2.2433948662473894e-14,2.1108844815875792e-14,7.367882977852405e-14
976.5624999999999,7.711593442681089e-12,2.5445625022513563e-14,2.406207947669112e-14,8.39107468019435e-14
1074.2187499999998,3.979488428389643e-12,2.9085795434141716e-14,2.7633523176591497e-14,9.628442685067356e-14
1171.8749999999998,2.197522535445464e-12,3.3482933119806586e-14,3.195007019361384e-14,1.1123951462300294e-13
1269.5312499999998,1.2825595743975848e-12,3.8799031439432645e-14,3.717179728499883e-14,1.2933064484336296e-13
1367.1874999999998,7.837895217997034e-13,4.5239057774374937e-14,4.35013498194836e-14,1.512599748818014e-13
1464.8437499999998,4.979301458232007e-13,5.306351384504198e-14,5.119642139191556e-14,1.7792043987811408e-13
1562.4999999999998,3.2698250400137763e-13,6.260523266519204e-14,6.05864576726917e-14,2.1045364788749783e-13
1660.1562499999998,2.2095447477211264e-13,7.429200504382029e-14,7.209517927319695e-14,2.503279432697117e-13
1757.8124999999998,1.530773439261366e-13,8.867730301401244e-14,8.627119650911833e-14,2.994445109182176e-13
1855.4687499999998,1.084031275536871e-13,1.0648235304801953e-13,1.0382998405943902e-13,3.6028284612362883e-13
1953.1249999999998,7.827269265745758e-14,1.2865428226105703e-13,1.257119688574364e-13,4.3610204582900103e-13
